R_mean,R_std,G_mean,G_std,B_mean,B_std,H_mean,H_std,S_mean,S_std,V_mean,V_std,L_mean,L_std,a_mean,a_std,b_mean,b_std,soil_type,fertility_class
110.30177774234694,62.9160176160945,91.8525390625,57.14607272211672,84.38510443239795,54.2647933920184,23.126056281887756,39.74017667925931,81.73696588010205,42.53506077347604,111.77750318877551,61.518598385670025,100.87711256377551,60.58244552999536,134.3249960140306,3.3062648588141754,134.99461894132654,6.256285976538154,Alluvial soil,Rich
110.30177774234694,62.9160176160945,91.8525390625,57.14607272211672,84.38510443239795,54.2647933920184,23.126056281887756,39.74017667925931,81.73696588010205,42.53506077347604,111.77750318877551,61.518598385670025,100.87711256377551,60.58244552999536,134.3249960140306,3.3062648588141754,134.99461894132654,6.256285976538154,Alluvial soil,Rich
110.30177774234694,62.9160176160945,91.8525390625,57.14607272211672,84.38510443239795,54.2647933920184,23.126056281887756,39.74017667925931,81.73696588010205,42.53506077347604,111.77750318877551,61.518598385670025,100.87711256377551,60.58244552999536,134.3249960140306,3.3062648588141754,134.99461894132654,6.256285976538154,Alluvial soil,Rich
170.7330994897959,50.27944900686541,145.76159917091837,47.63864078506297,109.17265226403062,48.821485581956054,28.75165417729592,29.757692382863137,101.53437898596938,40.59031307038233,172.97983099489795,50.704794601407535,156.5667649872449,48.55056018705958,132.6134406887755,4.081515288709192,150.91438137755102,13.019199867062905,Alluvial soil,Rich
103.31814014668367,32.10122009596152,89.94453523596938,32.331710406333,69.59739716198979,34.78708930095521,26.196528220663264,22.51917100435835,92.5049824617347,34.19171765457204,105.07963966836735,33.86770261312508,98.75364716198979,33.27584835457549,130.35788026147958,4.327402674346737,141.9910514987245,6.659877900922228,Alluvial soil,Rich
190.69399713010205,33.473939361673914,141.33304767219389,28.60401233552119,82.50807158801021,24.10640984790309,16.286969866071427,0.7636006517845058,146.45703125,19.416217554738925,190.69399713010205,33.473939361673914,158.62173150510205,28.803858043686954,140.15945870535714,2.367297403483754,166.3147122130102,5.462891139012996,Alluvial soil,Rich
147.0021125637755,70.78771042847369,125.7318040497449,64.6657621292363,99.67562181122449,58.64507096343181,21.322823660714285,25.6657554907233,84.40828284438776,40.55872191554549,147.17087850765307,70.58345593965424,134.86477598852042,65.97685550308637,132.4391541772959,3.7725729990695265,145.0041055484694,11.29449565320595,Alluvial soil,Rich
133.07469706632654,49.255730162392524,128.1826769770408,46.242778062480575,125.13153698979592,44.73684789909026,50.495236766581634,47.94739932792609,52.26841517857143,26.507112490860578,142.76761798469389,47.283578702605546,136.4665975765306,46.6461796053879,129.84903140943877,2.227966686772502,130.16320551658163,10.913483572403571,Alluvial soil,Rich
155.0887675382653,21.066702060219306,126.01713966836735,21.088258100211977,92.28898278061224,18.808280887953654,16.06283880739796,0.9954543252312167,104.77457350127551,12.680097054268261,155.0887675382653,21.066702060219306,139.45200892857142,20.856533422356637,134.44774394132654,1.1840459350340637,150.61146763392858,1.7791316257057448,Alluvial soil,Rich
133.72909359056123,44.934193257652346,128.0009765625,48.13093385266636,123.97375239158163,50.60876149554341,63.00191326530612,63.47003441766613,30.930265465561224,22.67567780632112,136.01620296556123,47.876570181219364,136.29468271683675,46.85109952363379,129.64211973852042,2.9359409675821095,131.0783242984694,6.6031482034804,Alluvial soil,Rich
